#{"t_start": 1611252516.4812393, "env_id": "CartPole-v1"}
r,l,t
24.0,24,5.662125
16.0,16,12.746343
13.0,13,12.81434
30.0,30,13.451972
20.0,20,13.901226
10.0,10,13.937871
10.0,10,13.976893
14.0,14,14.431208
26.0,26,15.022323
13.0,13,15.079315
23.0,23,15.700982
10.0,10,15.742978
12.0,12,15.787192
11.0,11,16.210078
10.0,10,16.25308
10.0,10,16.308081
9.0,9,16.733332
10.0,10,16.771115
8.0,8,16.802114
9.0,9,16.837296
10.0,10,17.262962
9.0,9,17.299979
9.0,9,17.334956
10.0,10,17.792025
10.0,10,17.833024
8.0,8,17.879026
10.0,10,18.374763
8.0,8,18.41676
10.0,10,18.479991
8.0,8,18.519292
