#{"t_start": 1615585669.657226, "env_id": "HopperBulletEnv-v0"}
r,l,t
15.778233,8,0.852158
20.706523,8,0.976158
29.159978,15,1.217356
31.015974,22,1.574145
23.232921,11,1.746056
15.980246,6,1.842057
30.244507,21,2.169534
22.947701,12,2.356853
34.808593,18,2.710777
27.228232,15,2.946785
27.062782,19,3.246165
26.960958,13,3.450338
31.432004,17,3.714583
28.91772,16,3.963409
24.867365,10,4.120426
32.909328,22,4.476743
28.056653,15,4.713371
32.089601,16,4.95838
25.828958,13,5.170234
24.211409,10,5.333839
23.99774,9,5.476931
30.960291,23,5.832891
20.964318,7,5.940386
23.919841,8,6.063812
31.462183,17,6.332783
30.257801,16,6.582699
29.904763,16,6.832137
21.886508,11,7.001903
30.50176,22,7.371952
28.288407,14,7.591626
24.94887,14,7.806545
23.059653,9,7.944501
20.528769,8,8.071206
24.839915,12,8.262854
18.080304,7,8.376986
61.501878,44,20.135168
53.210718,37,20.715056
24.057997,12,20.899942
16.511592,13,21.100534
22.581616,14,21.317622
27.039053,14,21.540135
22.585189,11,21.709701
38.527817,22,22.297118
24.19503,13,22.520121
30.071225,15,22.761564
30.109423,18,23.040674
17.955705,10,23.193908
24.734654,17,23.467283
29.009744,20,23.786104
21.631455,15,24.018727
28.105974,14,24.239004
36.467683,20,24.557459
29.915433,14,24.78048
20.965379,7,24.887991
29.092141,18,25.166491
28.290778,17,25.441088
20.587682,7,25.550024
19.113079,7,25.665182
26.837736,11,25.869188
20.576678,7,25.978154
22.018767,12,26.164787
22.521615,9,26.304931
24.905587,10,26.461498
36.312462,23,26.826885
31.476392,16,27.082651
18.956976,6,27.178144
28.863066,22,27.526761
23.435561,11,27.713033
29.704862,17,27.978307
21.83783,8,28.10498
19.855593,7,28.213726
34.270151,20,39.783442
23.868465,14,40.014273
23.108032,9,40.152498
20.302907,12,40.345886
28.383087,14,40.56455
29.015032,14,40.780515
30.097177,15,41.014446
32.730922,25,41.396287
29.477823,14,41.609098
24.081374,12,41.794253
32.325437,30,42.26393
31.126403,20,42.573067
25.456628,10,42.729196
24.206514,9,42.877509
23.638232,11,43.048151
22.891162,10,43.407534
26.821328,13,43.608227
21.047257,8,43.726427
35.542439,20,44.037166
31.953883,17,44.300214
23.39355,12,44.488762
26.52318,15,44.716176
24.37789,16,44.965471
26.129818,12,45.152852
30.87201,18,45.435896
19.963406,9,45.57625
26.358472,15,45.806383
29.443188,15,46.046188
27.229254,12,46.230032
28.458237,17,46.516412
20.283238,16,46.766371
41.706556,28,47.210298
29.944587,18,47.495895
40.680474,25,58.758043
37.413991,28,59.192055
25.962303,11,59.362834
25.433451,22,59.707244
36.5422,24,60.074328
31.652297,21,60.405531
27.096745,14,60.618487
26.577208,16,60.869175
40.421436,39,61.479742
64.016985,74,62.635071
28.532211,17,62.893871
23.913851,9,63.031413
27.684339,14,63.256202
30.170177,22,63.600256
25.418673,11,63.768584
23.260549,12,64.359501
27.247215,14,64.585504
27.457288,13,64.796766
34.118252,18,65.07672
23.676032,31,65.56418
26.765824,18,65.838048
23.415985,15,66.07085
27.426777,15,66.309875
31.883111,17,66.571805
27.503313,21,66.893272
41.228916,33,78.367593
29.36956,18,78.646773
25.102631,26,79.048452
24.740073,11,79.215531
28.905358,19,79.51877
32.236396,21,79.839839
32.904239,21,80.157497
26.098044,15,80.386355
20.682273,13,80.590886
44.111712,29,81.032297
40.972455,25,81.418862
38.307661,30,81.872545
34.616357,28,82.29918
48.297069,36,82.855786
30.678746,25,83.231514
36.228424,24,83.614997
21.115741,11,83.782791
32.22092,16,84.029186
40.141237,27,84.448412
23.563438,13,84.651929
29.67621,27,85.516188
45.275797,35,86.098799
39.16299,25,97.576134
30.106006,15,97.808145
52.554813,43,98.454568
38.902611,28,98.898986
35.539951,29,99.334876
31.357524,19,99.619065
53.817163,41,100.246197
48.396713,32,100.73802
38.262239,27,101.155018
38.167334,25,101.532442
21.309264,23,101.879596
41.788337,36,102.421922
33.041123,19,102.713354
31.910303,29,103.162867
37.568425,23,103.511301
29.972893,23,103.852292
42.83543,29,104.2898
27.861708,20,104.593924
95.443237,95,117.124757
88.743977,69,118.735532
32.071203,57,119.633735
48.775709,35,120.166805
61.63775,42,120.799622
43.911613,38,121.381227
35.110988,23,121.731475
68.317907,65,122.718843
32.875424,25,123.10094
50.669531,50,123.86921
41.933094,30,124.325777
61.460229,60,136.156224
77.770458,61,137.0739
40.007884,26,137.470982
127.912029,96,139.474555
83.652016,65,140.487899
81.300798,63,141.426631
40.309233,27,141.831338
111.834719,86,143.104936
97.035123,92,155.624847
73.382179,53,156.417518
58.906854,50,157.166579
56.458592,55,157.987113
86.425097,59,158.907858
93.356593,92,160.912234
90.73798,71,161.975295
68.002024,78,163.217336
77.161638,53,175.000867
102.370683,75,176.152596
91.959471,57,176.999702
69.14362,66,178.001441
65.686575,52,178.797361
73.965202,51,179.577322
101.326854,97,181.721074
110.934673,77,182.91783
88.120965,66,195.183648
93.64516,58,196.058522
130.956808,105,197.709043
136.596959,113,199.418433
120.191925,86,200.734933
86.49256,60,201.646724
130.588522,84,215.194479
137.383984,105,216.864826
110.537039,65,217.874402
99.524103,89,219.24635
92.192438,70,220.317985
135.390046,123,222.206726
137.177042,83,234.59485
95.901045,68,236.724874
122.073757,94,238.147005
141.958416,101,239.678753
74.175675,60,240.599794
52.750828,52,241.393244
109.531714,85,253.915242
37.902618,31,254.377608
165.279982,109,256.031888
106.231519,65,258.113453
131.196236,98,259.623018
122.598024,92,261.00379
162.851646,127,274.222319
122.26115,91,275.599176
150.304227,98,277.098772
153.698454,122,280.253783
135.607528,94,281.690818
100.172087,72,294.117887
164.150792,116,295.874697
27.310712,13,296.069794
182.104652,112,297.754473
93.644371,69,298.803068
167.087862,113,300.543784
146.100594,101,314.682786
181.066266,127,316.667565
140.151639,96,318.119007
145.653933,98,319.596038
129.739,77,320.749716
160.404476,100,333.584322
172.144942,115,336.38172
176.126106,108,338.007535
136.073644,76,339.154199
155.904167,99,340.642334
152.899648,105,342.233027
162.653632,116,355.13736
333.497603,247,361.619745
191.010386,129,363.586253
149.20669,101,376.24633
345.524218,254,382.206082
88.891891,72,383.285205
185.210741,130,396.592549
129.759498,93,398.011818
311.335752,211,401.165447
197.841366,134,407.815749
185.366276,120,420.73525
237.576287,166,423.21253
205.535821,133,425.212136
438.948487,288,445.228894
172.318349,113,446.935545
127.691078,159,449.332101
237.796832,134,462.491562
471.240303,331,471.285868
174.745679,116,473.010898
459.743403,320,491.716275
362.041023,216,494.952917
296.967767,232,509.473413
722.467279,438,530.595001
777.92734,569,553.767922
241.272573,119,555.57489
160.375459,113,557.285533
1034.928203,632,593.539694
286.29125,152,600.330817
253.736316,130,602.287551
556.562893,365,618.977232
202.517846,124,626.63829
257.955038,154,628.960039
431.231075,285,644.374495
495.194281,267,653.832787
317.374912,177,667.533676
820.06387,508,693.052498
387.662632,207,696.123809
713.431321,368,721.070496
602.33872,317,736.9503
1332.523692,783,768.223684
563.549991,303,792.463716
547.857927,323,797.247701
464.179781,257,820.67298
1395.482358,709,851.007016
410.498648,220,865.441514
1277.284261,686,894.750679
325.673691,172,905.779587
1415.928575,723,947.292561
1864.559263,1000,1001.613486
1620.854374,790,1033.336912
1340.459321,668,1073.88026
2125.418276,969,1107.782141
1316.169727,610,1147.885914
2124.906367,1000,1201.449674
952.36352,459,1216.454023
2239.779962,1000,1261.262486
1532.353091,684,1301.86593
573.944186,284,1314.435059
490.506337,234,1329.346168
2264.930284,1000,1383.308438
2264.207624,1000,1429.284018
1363.78675,597,1458.038807
1726.917352,765,1497.983929
2326.612309,1000,1543.761548
1953.98552,842,1594.970277
202.305719,102,1596.528157
2353.250573,1000,1642.652876
575.606015,251,1665.748508
168.726367,86,1667.020433
396.848581,205,1670.099034
2291.952516,1000,1724.05217
452.407928,204,1727.05522
398.579081,175,1740.552012
911.844072,409,1766.3941
243.765882,116,1768.108021
386.019253,175,1779.068126
1016.10166,453,1796.848281
2384.233674,1000,1851.106851
2332.658951,1000,1896.445039
1945.325113,805,1947.313535
2193.70446,928,1980.630994
1070.008719,474,2007.396426
558.310855,239,2022.189885
2359.642465,1000,2076.780777
1564.754312,651,2106.146888
2348.285582,1000,2161.702831
2030.048509,839,2205.597447
223.264717,107,2207.162413
2369.178889,1000,2261.894678
2400.037375,1000,2307.929644
2348.775022,1000,2363.019484
2352.459799,1000,2409.197528
303.342583,165,2420.213683
2390.59474,1000,2466.39211
2387.981908,1000,2521.334696
628.222491,295,2525.697298
816.126769,358,2551.136544
2382.580574,1000,2606.49542
2428.549562,1000,2652.128371
2442.977262,1000,2706.495728
2470.391821,1000,2752.505102
2447.063319,1000,2806.967719
2454.348361,1000,2862.054048
1383.440778,581,2890.818911
327.37137,153,2893.091142
2470.989658,1000,2939.175264
275.943097,143,2950.016242
686.968245,302,2965.829429
