#{"t_start": 1615033881.6617746, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,5.815894
-500.0,500,12.902596
-500.0,500,20.093782
-238.0,239,22.230857
-306.0,307,27.767757
-285.0,286,31.384891
-138.0,139,31.851753
-144.0,145,35.565213
-209.0,210,37.645917
-149.0,150,38.161649
-138.0,139,39.967631
-118.0,119,40.79764
-109.0,110,42.486164
-98.0,99,42.817201
-126.0,127,43.233349
-109.0,110,44.895236
-108.0,109,45.718215
-168.0,169,47.580567
-102.0,103,47.935205
-118.0,119,49.630748
-88.0,89,49.929417
-87.0,88,51.567652
-124.0,125,52.478475
-96.0,97,52.804295
-79.0,80,54.443088
-92.0,93,54.818099
-92.0,93,55.213401
-93.0,94,56.980504
-89.0,90,57.77691
-90.0,91,58.097851
-90.0,91,59.699049
-95.0,96,60.0251
-86.0,87,61.599338
-80.0,81,61.869278
-84.0,85,62.160936
-153.0,154,64.455713
-72.0,73,64.714211
-87.0,88,65.009835
-82.0,83,66.586875
-74.0,75,66.835174
-95.0,96,67.158989
-76.0,77,68.714523
-80.0,81,69.65429
-79.0,80,69.923752
-86.0,87,71.535451
-95.0,96,71.84825
-85.0,86,72.133369
-86.0,87,73.70936
-80.0,81,73.977776
-75.0,76,74.690174
-92.0,93,76.290353
-125.0,126,76.706672
-71.0,72,78.229525
-75.0,76,78.503653
-69.0,70,78.73674
-77.0,78,78.99418
-70.0,71,80.522969
-69.0,70,81.193541
-88.0,89,81.513675
-78.0,79,83.094765
-84.0,85,83.386111
-77.0,78,83.652673
-79.0,80,85.352438
-225.0,226,86.814619
-77.0,78,88.452918
-78.0,79,88.743833
-81.0,82,89.01741
-87.0,88,90.628233
-94.0,95,90.953439
-80.0,81,91.239514
-108.0,109,93.368142
-86.0,87,93.667722
-96.0,97,95.257266
-70.0,71,95.501194
-86.0,87,95.801792
-92.0,93,97.425239
-83.0,84,97.712369
-93.0,94,98.49604
-76.0,77,100.099756
-71.0,72,100.341859
-89.0,90,100.658737
-62.0,63,100.875101
-78.0,79,102.432449
-63.0,64,102.655933
-80.0,81,102.930912
-79.0,80,104.925489
-84.0,85,105.219342
-75.0,76,105.484313
-76.0,77,107.057538
-75.0,76,107.317782
-73.0,74,107.576113
-83.0,84,107.864831
-75.0,76,109.431486
-66.0,67,109.669284
-66.0,67,110.33843
-82.0,83,111.963192
-61.0,62,112.173826
-80.0,81,112.458098
-72.0,73,112.711226
-79.0,80,114.321637
-70.0,71,114.572523
-77.0,78,114.841474
-83.0,84,117.115517
-76.0,77,117.438037
-71.0,72,117.745984
-77.0,78,119.37829
-77.0,78,119.645161
-70.0,71,119.894008
-81.0,82,120.193751
-92.0,93,121.810401
-75.0,76,122.516212
-74.0,75,122.776227
-97.0,98,124.400672
-75.0,76,124.654415
-77.0,78,124.921697
-63.0,64,126.454474
-92.0,93,126.767565
-69.0,70,127.010774
