#{"t_start": 1617005834.4433684, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-16.676333,82,0.936437
-322.964417,94,1.62827
-317.860901,89,2.33921
-76.882748,130,3.31818
-98.495675,144,4.348875
-264.836776,152,6.048886
-446.695391,152,7.147883
-271.033229,109,7.941726
-223.900643,72,8.441197
-363.454559,185,13.247229
-154.462691,105,14.463866
-223.783467,163,15.666378
-249.899215,125,16.621794
-159.167822,91,17.277466
-297.123789,91,17.933372
-109.100095,148,19.552999
-93.87038,89,20.169668
-55.827706,80,23.9507
-46.311482,161,25.11294
-68.085474,172,26.341662
-152.751328,130,27.885425
-442.039861,203,29.812534
-188.819977,125,31.047946
-64.69737,71,31.780239
-241.029139,137,36.408012
-36.363625,152,38.98428
-46.000951,176,41.770588
-97.961105,103,43.300374
-139.900702,142,44.978038
-231.780595,124,46.508215
-178.520493,151,47.884265
-108.739432,133,49.081691
-35.860789,81,53.151013
-74.026957,89,53.969091
-171.076351,136,55.880384
-153.449055,169,58.057128
-52.290219,159,59.960594
-66.334465,153,61.636756
-222.830701,134,66.989745
-262.701689,249,72.889662
-33.483791,134,74.187783
-14.602093,108,75.287131
-92.212442,164,77.481225
-14.850758,108,78.589341
-52.632428,152,79.82489
-36.373486,89,80.473995
-9.91278,180,85.198623
-36.506283,159,99.547413
13.74737,144,100.833724
-171.468306,219,102.848153
-71.571399,139,103.999331
-115.59306,182,107.768068
-36.355253,156,112.575076
-25.633935,203,114.872311
-44.299716,124,117.123467
-266.187039,197,120.018879
27.596095,141,121.595501
-44.763081,129,122.81844
-29.534846,87,123.775407
26.70983,198,131.311689
33.124567,155,134.003708
-12.481344,147,137.036793
-13.118154,85,138.876987
-23.984974,99,141.01123
31.389995,107,144.342183
-59.561296,207,147.498683
10.359473,1000,180.60813
-145.056763,414,195.611307
21.93443,118,198.693947
13.847389,161,218.488736
-43.14267,199,224.018255
30.096838,188,229.310793
-107.269943,334,258.73558
26.461707,1000,315.063203
24.565638,148,327.910656
22.273078,170,335.013728
-1.8926,1000,386.079446
-17.875551,163,392.8928
35.981746,124,398.68
-44.896479,1000,445.379822
66.818833,1000,494.162573
38.739214,199,505.95975
11.542117,174,516.470251
-1.594943,1000,556.920574
22.812508,1000,602.925515
22.671966,1000,646.022747
-8.65105,171,655.600351
43.886207,1000,709.604894
78.902182,1000,754.335438
91.123905,1000,801.14743
101.350021,1000,848.243181
22.285492,1000,897.718675
57.96649,1000,947.29583
47.064664,1000,991.418349
87.518579,1000,1039.474409
69.452661,1000,1085.970022
66.717818,1000,1136.619449
108.34524,1000,1188.713691
58.205229,1000,1231.540857
142.035402,1000,1277.032248
121.288912,1000,1321.64151
73.151873,1000,1374.896454
38.701116,221,1387.622929
127.042072,1000,1436.246553
97.310462,1000,1475.764712
94.721426,1000,1527.476506
106.706952,1000,1578.641988
135.977257,1000,1623.865614
144.040322,1000,1672.473614
45.450283,280,1684.510159
87.299575,1000,1730.381512
88.138937,1000,1775.562747
142.42961,1000,1813.938191
126.332604,1000,1859.262581
118.47308,1000,1897.837151
90.112631,1000,1941.118965
72.927233,1000,1983.990831
132.05636,1000,2021.399211
163.012363,1000,2061.29464
128.75105,1000,2096.815899
121.891778,1000,2135.719434
140.033957,1000,2178.40204
157.865833,1000,2215.046278
160.730325,1000,2255.399652
139.809725,1000,2290.014949
138.946905,1000,2329.004801
159.004122,1000,2366.900754
159.223317,1000,2401.206954
124.315686,1000,2441.106277
141.228625,1000,2478.166212
144.103417,1000,2517.068904
118.929481,1000,2555.368983
188.170344,1000,2589.849779
55.434563,233,2595.528929
135.893878,1000,2631.787855
159.209392,1000,2666.721043
13.428768,252,2677.252203
165.480423,1000,2714.001384
135.52261,1000,2749.331993
76.422238,202,2757.655013
163.110904,1000,2791.653444
155.496885,1000,2829.012891
159.323051,1000,2860.097688
127.508385,1000,2893.780767
-0.930384,171,2898.147532
165.185022,1000,2932.883372
161.36883,1000,2965.417621
132.513099,1000,3002.166881
171.377036,1000,3037.182173
157.95685,1000,3068.025738
82.845381,223,3075.354834
173.0756,1000,3104.009114
180.921266,1000,3134.330715
56.411204,222,3138.368424
201.607614,1000,3171.36531
170.157916,1000,3202.833648
180.342932,1000,3236.608405
178.493671,1000,3268.442341
203.059832,1000,3299.351946
132.141904,1000,3334.262868
126.277752,1000,3370.768419
184.266453,1000,3414.869301
170.638544,1000,3456.390782
65.811861,167,3460.321407
77.863682,211,3465.301708
145.586445,1000,3501.774639
156.568912,1000,3535.123432
191.329615,1000,3571.817794
142.092978,1000,3608.240262
166.33317,1000,3642.702898
171.078126,1000,3677.187696
172.835808,1000,3707.7529
177.406093,1000,3741.143885
169.638937,1000,3777.459549
134.184019,1000,3806.428827
141.991003,1000,3838.367495
129.516742,1000,3871.710009
138.772523,1000,3903.827333
160.9214,1000,3939.883804
168.468777,1000,3974.656828
166.585449,1000,4006.076258
175.248424,1000,4037.734029
70.053141,190,4043.466378
189.693209,1000,4072.393643
30.666227,161,4077.950933
141.455972,1000,4107.438957
54.28643,186,4111.70161
117.08555,1000,4145.488112
151.216032,1000,4177.994887
44.48088,181,4181.725662
150.357435,1000,4215.683084
164.180888,1000,4250.266028
121.423169,1000,4282.396113
154.700075,1000,4314.284595
143.977427,1000,4347.76592
174.180031,1000,4384.484665
201.691412,1000,4417.391227
70.325612,190,4422.123738
172.130428,1000,4460.043555
202.277523,1000,4494.974846
113.101795,1000,4525.020923
166.738645,1000,4557.973356
178.213351,1000,4588.466295
176.857254,1000,4623.815661
150.375115,1000,4661.746007
