#{"t_start": 1615034015.980927, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,5.766582
-500.0,500,13.056987
-437.0,438,18.1074
-299.0,300,20.438882
-173.0,174,22.851005
-173.0,174,24.737052
-203.0,204,25.419715
-215.0,216,28.169884
-127.0,128,29.877288
-442.0,443,33.940915
-108.0,109,34.787806
-296.0,297,37.093744
-154.0,155,38.899559
-153.0,154,39.914101
-89.0,90,41.538225
-126.0,127,41.975522
-100.0,101,43.743634
-140.0,141,44.325549
-101.0,102,46.015066
-91.0,92,46.844815
-86.0,87,47.137233
-111.0,112,48.842856
-110.0,111,49.227446
-114.0,115,50.910984
-89.0,90,51.215169
-82.0,83,52.040776
-92.0,93,53.656551
-100.0,101,53.997444
-141.0,142,55.80138
-173.0,174,56.412917
-89.0,90,58.478645
-94.0,95,58.814113
-84.0,85,59.153157
-90.0,91,60.769385
-101.0,102,61.108505
-102.0,103,61.450047
-87.0,88,63.002611
-80.0,81,63.714631
-89.0,90,64.020388
-97.0,98,65.626156
-104.0,105,65.972672
-114.0,115,67.644064
-92.0,93,67.951656
-83.0,84,68.230675
-85.0,86,70.576197
-88.0,89,70.872373
-76.0,77,71.130679
-89.0,90,72.912363
-62.0,63,73.166484
-99.0,100,73.551992
-78.0,79,75.163218
-93.0,94,75.892412
-346.0,347,78.370961
-142.0,143,80.147322
-79.0,80,80.411584
-79.0,80,82.39397
-93.0,94,82.705843
-89.0,90,83.012306
-92.0,93,84.622888
-67.0,68,84.853627
-76.0,77,85.109293
-84.0,85,86.702039
-159.0,160,87.900738
-78.0,79,88.166139
-83.0,84,89.741027
-92.0,93,90.061351
-74.0,75,90.312887
-91.0,92,91.910773
-90.0,91,92.654011
-86.0,87,92.955423
-95.0,96,94.561602
-87.0,88,94.855377
-76.0,77,96.399788
-94.0,95,96.72899
-112.0,113,97.122398
-76.0,77,99.190671
-91.0,92,99.498971
-83.0,84,99.778186
-93.0,94,101.39159
-94.0,95,101.708781
-82.0,83,101.99196
-82.0,83,103.699883
-84.0,85,104.578032
-92.0,93,104.923059
-93.0,94,106.516493
-94.0,95,106.831277
-91.0,92,107.146361
-86.0,87,108.70927
-86.0,87,108.999116
-95.0,96,111.004267
-116.0,117,111.401302
-91.0,92,111.720138
-272.0,273,113.925277
-80.0,81,115.470056
-100.0,101,116.27892
-105.0,106,117.933476
-94.0,95,118.261294
-63.0,64,118.474324
-97.0,98,120.089776
-95.0,96,120.414459
-74.0,75,120.664222
