#{"t_start": 1615034271.38325, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,6.011868
-500.0,500,13.021607
-500.0,500,20.087008
-298.0,299,23.753651
-416.0,417,29.590199
-179.0,180,31.675724
-151.0,152,34.135968
-159.0,160,36.000872
-221.0,222,38.067832
-136.0,137,38.525879
-131.0,132,40.729332
-130.0,131,42.469057
-125.0,126,42.886136
-102.0,103,43.230153
-103.0,104,44.857001
-121.0,122,45.741941
-117.0,118,47.422339
-109.0,110,47.786064
-95.0,96,49.413595
-90.0,91,49.717109
-103.0,104,50.06142
-83.0,84,52.099226
-89.0,90,52.407285
-103.0,104,52.757334
-82.0,83,54.329844
-121.0,122,54.743977
-86.0,87,56.33706
-90.0,91,56.646609
-176.0,177,59.004222
-88.0,89,59.312401
-80.0,81,59.612512
-87.0,88,61.520653
-75.0,76,61.778491
-74.0,75,62.031952
-225.0,226,64.589832
-78.0,79,64.856547
-123.0,124,66.622659
-120.0,121,67.029754
-80.0,81,68.614657
-81.0,82,69.365615
-92.0,93,69.699296
-80.0,81,71.285885
-91.0,92,71.600835
-116.0,117,71.996957
-86.0,87,73.580748
-84.0,85,73.871724
-72.0,73,74.604974
-83.0,84,76.165943
-85.0,86,76.454321
-76.0,77,76.71994
-78.0,79,78.254668
-101.0,102,78.599187
-86.0,87,78.904168
-192.0,193,81.365333
-109.0,110,83.040275
-107.0,108,83.400616
-76.0,77,83.662282
-94.0,95,85.281192
-109.0,110,85.652855
-79.0,80,86.387576
-92.0,93,88.029198
-70.0,71,88.270446
-87.0,88,88.571507
-79.0,80,90.160248
-77.0,78,90.431074
-79.0,80,90.749089
-73.0,74,92.559721
-85.0,86,93.346328
-83.0,84,93.634892
-220.0,221,95.692382
-115.0,116,97.375509
-77.0,78,97.63822
-101.0,102,98.46368
-77.0,78,100.052626
-86.0,87,100.349391
-88.0,89,100.666298
-81.0,82,102.256685
-94.0,95,102.577757
-97.0,98,102.909707
-62.0,63,105.034566
-90.0,91,105.344896
-86.0,87,105.651025
-71.0,72,107.21236
-70.0,71,107.453284
-63.0,64,107.671117
-82.0,83,107.953683
-79.0,80,109.523832
-90.0,91,110.286142
-103.0,104,111.926331
-77.0,78,112.204184
-96.0,97,112.541408
-70.0,71,114.085867
-76.0,77,114.349413
-80.0,81,114.644767
-77.0,78,114.919369
-89.0,90,116.965607
-89.0,90,117.277083
-83.0,84,117.561325
-90.0,91,119.17795
-81.0,82,119.466177
-121.0,122,121.521361
-63.0,64,121.748315
-71.0,72,122.489769
-75.0,76,122.751768
-76.0,77,124.310143
-81.0,82,124.587483
-81.0,82,124.86622
-73.0,74,126.424668
-79.0,80,126.696686
-79.0,80,126.969967
