#{"t_start": 1614803183.7512019, "env_id": "CartPole-v1"}
r,l,t
20.0,20,2.831236
10.0,10,2.843121
25.0,25,2.983014
10.0,10,3.10823
39.0,39,3.260191
35.0,35,3.411375
25.0,25,3.561918
13.0,13,3.576981
14.0,14,3.593157
38.0,38,3.876076
50.0,50,4.04882
35.0,35,4.200854
68.0,68,4.49936
27.0,27,4.649378
40.0,40,4.924297
99.0,99,5.404842
26.0,26,5.437087
130.0,130,6.089152
225.0,225,7.301988
225.0,225,8.367617
74.0,74,8.677498
167.0,167,10.746572
308.0,308,12.260916
119.0,119,12.73363
116.0,116,13.302488
313.0,313,14.798359
304.0,304,17.520826
295.0,295,18.987388
500.0,500,21.244021
500.0,500,25.569078
500.0,500,27.854728
500.0,500,30.232448
500.0,500,34.56958
500.0,500,36.823133
500.0,500,41.200056
500.0,500,43.627999
500.0,500,45.946687
500.0,500,50.323069
500.0,500,52.642238
500.0,500,57.046503
500.0,500,59.426279
500.0,500,61.726196
500.0,500,66.074559
500.0,500,68.523877
500.0,500,72.734437
500.0,500,75.130787
500.0,500,77.423089
