#{"t_start": 1614803353.969793, "env_id": "CartPole-v1"}
r,l,t
23.0,23,2.832231
32.0,32,2.977328
49.0,49,3.255183
30.0,30,3.400247
31.0,31,3.542895
15.0,15,3.559657
16.0,16,3.692139
30.0,30,3.830789
200.0,200,4.766995
91.0,91,5.22129
96.0,96,5.677504
34.0,34,5.823618
37.0,37,5.979831
113.0,113,6.445744
207.0,207,7.485418
127.0,127,8.09279
297.0,297,11.111199
263.0,263,12.338263
500.0,500,14.745336
500.0,500,19.118235
500.0,500,21.354772
131.0,131,21.96229
170.0,170,22.827786
163.0,163,23.581405
194.0,194,25.521445
198.0,198,26.418398
144.0,144,27.030899
500.0,500,29.38031
500.0,500,33.723439
500.0,500,36.003297
500.0,500,38.474031
500.0,500,42.816909
500.0,500,45.115995
500.0,500,49.435385
500.0,500,51.717083
500.0,500,54.08943
500.0,500,58.405822
500.0,500,60.69643
500.0,500,65.033428
500.0,500,67.389748
500.0,500,69.652151
500.0,500,73.965137
500.0,500,76.237294
