#{"t_start": 1615034143.4286842, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,5.876187
-500.0,500,13.23027
-415.0,416,18.049918
-306.0,307,20.449191
-231.0,232,23.140576
-172.0,173,25.078192
-194.0,195,27.117456
-128.0,129,27.544544
-180.0,181,29.993261
-205.0,206,32.029341
-136.0,137,32.513522
-213.0,214,35.066661
-136.0,137,35.552748
-133.0,134,37.59738
-484.0,485,42.267181
-126.0,127,42.705636
-130.0,131,44.482356
-89.0,90,44.788324
-81.0,82,46.821724
-109.0,110,47.206455
-90.0,91,47.52416
-81.0,82,49.110976
-194.0,195,49.781435
-96.0,97,51.409691
-83.0,84,52.15443
-106.0,107,53.827727
-117.0,118,54.226686
-81.0,82,54.501068
-91.0,92,56.112234
-72.0,73,56.367685
-212.0,213,58.907231
-139.0,140,59.370991
-95.0,96,60.983306
-92.0,93,61.297282
-93.0,94,61.614058
-78.0,79,63.171743
-90.0,91,63.928944
-77.0,78,64.194272
-74.0,75,65.829492
-163.0,164,66.491914
-75.0,76,68.204183
-222.0,223,70.717939
-88.0,89,71.024162
-84.0,85,71.310232
-77.0,78,72.856881
-76.0,77,73.11421
-82.0,83,73.39232
-64.0,65,73.612528
-93.0,94,75.219918
-86.0,87,76.031206
-92.0,93,76.35882
-76.0,77,77.927759
-88.0,89,78.229366
-86.0,87,78.536705
-88.0,89,80.136245
-82.0,83,80.417775
-112.0,113,82.577212
-84.0,85,82.870297
-96.0,97,83.222906
-98.0,99,84.858865
-75.0,76,85.121915
-81.0,82,85.400025
-74.0,75,86.920663
-78.0,79,87.748832
-63.0,64,87.966352
-87.0,88,89.58218
-62.0,63,89.796439
-77.0,78,90.061395
-78.0,79,90.325218
-75.0,76,91.880585
-70.0,71,92.127248
-87.0,88,92.884296
-84.0,85,94.461447
-76.0,77,94.733587
-82.0,83,95.012035
-89.0,90,96.64778
-74.0,75,96.958114
-105.0,106,97.396628
-79.0,80,99.552758
-70.0,71,99.802482
-83.0,84,100.087935
-76.0,77,101.644469
-83.0,84,101.926687
-82.0,83,102.204469
-76.0,77,102.46664
-76.0,77,104.005525
-72.0,73,104.682881
-91.0,92,105.008837
-82.0,83,106.574167
-88.0,89,106.876088
-70.0,71,107.11443
-142.0,143,108.925544
-84.0,85,109.222227
-71.0,72,111.196981
-104.0,105,111.555111
-80.0,81,111.829865
-93.0,94,113.454412
-78.0,79,113.722035
-73.0,74,113.968976
-74.0,75,115.517589
-78.0,79,115.793835
-174.0,175,118.168273
-72.0,73,118.414825
-79.0,80,118.692784
-70.0,71,118.934098
-75.0,76,120.477402
-71.0,72,120.724112
-94.0,95,121.574157
