#{"t_start": 1616409619.1563554, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.212657
-321.0,322,6.972845
-327.0,328,9.500681
-233.0,234,11.898948
-343.0,344,14.208757
-302.0,303,16.842999
-145.0,146,18.428787
-125.0,126,18.942158
-176.0,177,20.601579
-119.0,120,22.481349
-208.0,209,23.364735
-115.0,116,24.751962
-145.0,146,25.364239
-123.0,124,27.214581
-128.0,129,27.745037
-143.0,144,29.227089
-114.0,115,29.695328
-99.0,100,30.999296
-92.0,93,31.814005
-105.0,106,33.177317
-103.0,104,33.613908
-89.0,90,33.980263
-89.0,90,35.229852
-117.0,118,35.755334
-93.0,94,37.578167
-84.0,85,37.941572
-106.0,107,38.394451
-107.0,108,39.815226
-82.0,83,40.265533
-82.0,83,40.665046
-101.0,102,42.024693
-85.0,86,42.866639
-85.0,86,43.22888
-113.0,114,44.661009
-88.0,89,45.034111
-111.0,112,46.426942
-81.0,82,46.764932
-81.0,82,47.10379
-118.0,119,48.915292
-112.0,113,49.383711
-98.0,99,50.74167
-94.0,95,51.142915
-83.0,84,51.476304
-82.0,83,52.715429
-73.0,74,53.420612
-95.0,96,53.820651
-110.0,111,55.15857
-105.0,106,55.615399
-87.0,88,56.885298
-98.0,99,57.292041
-83.0,84,57.630757
-78.0,79,59.285169
-74.0,75,59.588534
-91.0,92,59.976697
-93.0,94,61.297835
-126.0,127,61.83066
-89.0,90,62.218269
-92.0,93,63.534666
-109.0,110,64.447133
-82.0,83,65.727539
-87.0,88,66.09661
-75.0,76,66.415364
-94.0,95,67.768196
-85.0,86,68.121427
-88.0,89,68.490805
-89.0,90,70.337868
-102.0,103,70.818581
-72.0,73,71.12594
-75.0,76,72.38379
-90.0,91,72.759315
-74.0,75,73.074799
-80.0,81,74.301617
-74.0,75,75.015594
-84.0,85,75.371742
-62.0,63,75.642876
-88.0,89,76.948886
-85.0,86,77.301747
-163.0,164,78.911208
-79.0,80,79.247152
-91.0,92,80.104524
-90.0,91,81.444491
-75.0,76,81.756081
-94.0,95,82.154138
-116.0,117,83.593082
-91.0,92,83.970062
-89.0,90,85.732616
-95.0,96,86.129284
-82.0,83,86.4736
-83.0,84,87.70089
-73.0,74,87.995313
-74.0,75,88.296953
-109.0,110,89.617955
-99.0,100,90.437647
-106.0,107,90.918196
-84.0,85,92.17919
-78.0,79,92.497429
-93.0,94,92.899644
-87.0,88,94.137935
-82.0,83,94.473298
-80.0,81,94.813761
-81.0,82,96.510638
-73.0,74,96.828327
-92.0,93,97.219789
-114.0,115,98.600971
-77.0,78,98.93534
-83.0,84,99.299486
-84.0,85,100.724087
-73.0,74,101.461544
-77.0,78,101.795451
-89.0,90,103.068098
-84.0,85,103.415474
-76.0,77,103.733359
-63.0,64,104.994975
-74.0,75,105.328861
-73.0,74,105.649339
